,Id,Champion,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1982ATL,0,3210.0,6776.0,28.0,128.0,3182.0,6648.0,1833.0,2387.0,1135.0,2368.0,1815.0,608.0,485.0,1322.0,2268.0,8281.0,1982
1,1982BOS,0,3657.0,7334.0,49.0,184.0,3608.0,7150.0,1817.0,2457.0,1253.0,2489.0,2126.0,652.0,568.0,1432.0,2014.0,9180.0,1982
2,1982CHI,0,3369.0,6728.0,54.0,213.0,3315.0,6515.0,1951.0,2545.0,1125.0,2525.0,2043.0,580.0,483.0,1612.0,2008.0,8743.0,1982
3,1982CLE,0,3405.0,7334.0,25.0,137.0,3380.0,7197.0,1628.0,2179.0,1190.0,2170.0,1871.0,634.0,357.0,1294.0,2193.0,8463.0,1982
4,1982DAL,0,3390.0,7224.0,55.0,190.0,3335.0,7034.0,1740.0,2366.0,1213.0,2228.0,2117.0,566.0,313.0,1298.0,2193.0,8575.0,1982
5,1982DEN,0,3980.0,7656.0,40.0,149.0,3940.0,7507.0,2371.0,2978.0,1149.0,2443.0,2272.0,664.0,368.0,1453.0,2131.0,10371.0,1982
6,1982DET,0,3561.0,7391.0,52.0,213.0,3509.0,7178.0,1938.0,2581.0,1298.0,2345.0,2027.0,741.0,564.0,1615.0,2160.0,9112.0,1982
7,1982GSW,0,3646.0,7349.0,91.0,325.0,3555.0,7024.0,1709.0,2382.0,1282.0,2452.0,1820.0,685.0,391.0,1393.0,2225.0,9092.0,1982
8,1982HOU,0,3504.0,7366.0,50.0,176.0,3454.0,7190.0,1622.0,2225.0,1403.0,2284.0,1977.0,648.0,429.0,1300.0,1871.0,8680.0,1982
9,1982IND,0,3332.0,7164.0,103.0,316.0,3229.0,6848.0,1612.0,2176.0,1141.0,2372.0,1897.0,753.0,494.0,1353.0,2041.0,8379.0,1982
10,1982KCK,0,3604.0,7284.0,26.0,130.0,3578.0,7154.0,1551.0,2158.0,1086.0,2276.0,2056.0,743.0,402.0,1482.0,2359.0,8785.0,1982
11,1982LAL,1,3919.0,7585.0,13.0,94.0,3906.0,7491.0,1549.0,2161.0,1258.0,2505.0,2356.0,848.0,517.0,1453.0,1999.0,9400.0,1982
12,1982MIL,0,3544.0,7015.0,49.0,164.0,3495.0,6851.0,1753.0,2329.0,1167.0,2415.0,2233.0,763.0,455.0,1562.0,2281.0,8890.0,1982
13,1982NJN,0,3501.0,7227.0,30.0,146.0,3471.0,7081.0,1714.0,2354.0,1194.0,2320.0,2096.0,918.0,481.0,1620.0,2295.0,8746.0,1982
14,1982NYK,0,3523.0,7178.0,58.0,214.0,3465.0,6964.0,1603.0,2171.0,1168.0,2273.0,2075.0,719.0,338.0,1463.0,2195.0,8707.0,1982
15,1982PHI,0,3616.0,6974.0,41.0,139.0,3575.0,6835.0,1846.0,2471.0,1031.0,2389.0,2264.0,856.0,622.0,1445.0,2183.0,9119.0,1982
16,1982PHO,0,3508.0,7140.0,54.0,174.0,3454.0,6966.0,1635.0,2157.0,1123.0,2517.0,2223.0,753.0,429.0,1501.0,2029.0,8705.0,1982
17,1982POR,0,3629.0,7187.0,29.0,140.0,3600.0,7047.0,1719.0,2387.0,1142.0,2355.0,2054.0,706.0,367.0,1376.0,2012.0,9006.0,1982
18,1982SAS,0,3698.0,7613.0,64.0,252.0,3634.0,7361.0,1812.0,2335.0,1253.0,2537.0,2257.0,600.0,555.0,1276.0,2217.0,9272.0,1982
19,1982SDC,0,3552.0,7101.0,99.0,338.0,3453.0,6763.0,1693.0,2341.0,1131.0,2196.0,1878.0,636.0,299.0,1538.0,2353.0,8896.0,1982
20,1982SEA,0,3505.0,7178.0,38.0,153.0,3467.0,7025.0,1747.0,2362.0,1103.0,2544.0,2103.0,691.0,460.0,1336.0,2057.0,8795.0,1982
21,1982TOT,0,6470.0,13563.0,77.0,347.0,6393.0,13216.0,2976.0,4091.0,2286.0,4197.0,2561.0,1121.0,766.0,2443.0,4255.0,15993.0,1982
22,1982UTA,0,3679.0,7446.0,22.0,97.0,3657.0,7349.0,1714.0,2282.0,1147.0,2362.0,1895.0,700.0,357.0,1413.0,2196.0,9094.0,1982
23,1982WSB,0,3400.0,7168.0,59.0,236.0,3341.0,6932.0,1626.0,2105.0,1047.0,2583.0,1983.0,643.0,397.0,1371.0,2072.0,8485.0,1982
24,1983ATL,0,3352.0,7146.0,45.0,188.0,3307.0,6958.0,1586.0,2111.0,1139.0,2433.0,1945.0,573.0,665.0,1406.0,2022.0,8335.0,1983
25,1983BOS,0,3711.0,7547.0,39.0,186.0,3672.0,7361.0,1730.0,2348.0,1273.0,2532.0,2216.0,789.0,521.0,1526.0,2062.0,9191.0,1983
26,1983CHI,0,3537.0,7373.0,45.0,209.0,3492.0,7164.0,1983.0,2690.0,1267.0,2527.0,2086.0,666.0,400.0,1717.0,2192.0,9102.0,1983
