,Year,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
0,1982,3.1039236479321337,1.0917285259809144,-0.4740190880169671,-1.2720042417815485,3.577942735949098,2.363732767762463,-3.1723223753976675,-3.242841993637329,0.459703075291622,0.5169671261930001,3.47030752916225,1.6564156945917285,0.801166489925769,-0.25397667020148473,-2.9856839872746526,2.5615058324496336
1,1983,-1.4469777306468719,-5.958642629904561,-0.26033934252386004,-1.0477200424178155,-1.1866383881230123,-4.910922587486744,2.2242841993637317,2.8780487804878048,0.6405090137857896,0.4687168610816526,-2.2730646871686098,0.6564156945917287,1.2317073170731707,-0.40137857900318,-2.652704135737012,-0.9300106044538774
2,1984,1.725344644750793,1.9671261930010608,0.09597030752916225,0.47560975609756095,1.629374337221634,1.4915164369034999,1.2905620360551433,0.3260869565217379,0.2857900318133627,3.0010604453870613,0.278366914103921,-0.1177094379639451,0.04082714740190856,-0.24072110286320134,-1.5466595970307502,4.8372216330859015
3,1985,5.650583244962884,1.3488865323435852,0.24814422057264043,0.5683987274655354,5.402439024390244,0.7804878048780488,-1.2004241781548262,-1.5471898197242864,-1.233297985153765,2.5498409331919394,6.132025450689287,0.12301166489925763,0.6378579003181334,1.3674443266171799,-1.1829268292682926,10.348886532343585
4,1986,2.573700954400848,0.9618239660657443,0.7560975609756098,1.460763520678685,1.8176033934252378,-0.4989395546129389,-1.0503711558854725,-2.817603393425238,-1.23117709437964,4.366914103923646,3.2152704135737014,-0.946977730646872,1.044538706256628,-1.2285259809119817,-4.01643690349947,4.85312831389183
5,1987,3.2401908801696706,-0.2884411452810127,0.627253446447508,0.8223753976670198,2.6129374337221645,-1.1108165429480368,1.439554612937433,0.6919406150583233,-1.0418875927889724,1.5291622481442195,3.6993637327677624,0.2682926829268293,0.4045599151643689,-0.39872746553552446,-2.2698833510074237,8.547189819724291
6,1988,-1.0206786850477196,-7.026511134676562,-0.013255567338282018,0.39077412513255566,-1.0074231177094388,-7.4172852598091215,0.32343584305408235,-0.5493107104984086,-2.0397667020148473,-0.6892895015906705,1.173913043478262,-0.935312831389183,-0.9146341463414634,-1.8027571580063628,-5.200424178154823,-1.7311770943796345
7,1989,-2.6365853658536564,-8.74390243902439,-0.7599999999999999,-1.9980487804878053,-1.8765853658536598,-6.745853658536584,-0.7014634146341461,-0.9663414634146315,-0.9790243902439021,0.5326829268292663,-1.556585365853657,-3.0790243902439025,-0.5746341463414635,-1.526341463414635,-1.1780487804878037,-6.7346341463414605
8,1990,-1.8884372177055089,-4.523035230352301,-0.04245709123757921,-0.0962059620596209,-1.845980126467932,-4.426829268292683,-1.375790424570912,-1.7953929539295386,0.2579042457091224,-0.13279132791327666,-1.4087624209575451,-2.6743450767841015,-0.14227642276422786,-1.6336946702800372,-0.18925022583559117,-5.195121951219512
9,1991,2.001355013550138,-2.5117434507678364,-0.4367660343270099,-2.12962962962963,2.4381210478771473,-0.3821138211382077,-2.242547425474255,-2.7660343270099363,-0.37082204155374865,-1.3974706413730806,2.3337850045167126,1.3423667570009026,0.03884372177055076,-1.962962962962964,-2.362691960252935,1.3233965672990031
10,1992,3.475609756097561,0.2759710930442629,-0.845528455284553,-2.1323396567299007,4.321138211382116,2.408310749774168,-0.8066847335140005,-0.5790424570912354,0.020325203252033446,0.550135501355016,3.2533875338753395,-0.5004516711833789,0.3879855465221322,-2.414182475158086,-1.7556458897922322,5.299006323396564
11,1993,2.053297199638664,2.549232158988261,-0.0018066847335140531,-0.7461607949412832,2.0551038843721794,3.2953929539295443,-3.4123757904245706,-3.8572719060523912,1.9823848238482398,-1.5275519421860868,1.6224028906955725,1.0415537488708217,-0.20460704607046062,-2.5234869015356813,-1.365401987353208,0.6924119241192362
12,1994,-1.525745257452577,-5.09485094850948,1.9719963866305328,5.848690153568203,-3.4977416440831073,-10.943541102077688,-2.2321589882565482,-3.3211382113821157,-3.0921409214092153,2.1734417344173433,0.7439024390243902,-0.3626919602529361,0.6133694670280038,0.06368563685636795,-2.8482384823848252,-3.3116531165311556
13,1995,0.14814814814814958,-2.3364950316169777,2.384372177055104,6.017163504968383,-2.2362240289069564,-8.353658536585366,-1.5609756097560976,-2.5451671183378526,-2.588527551942187,0.9096657633243002,1.693766937669377,0.44399277326106573,1.1395663956639568,0.03477868112014587,-2.945347786811201,1.1196928635953134
