,Year,Player,Pos,G,AST,PTS,Avg_Ast,Avg_Pts
6695,1982.0,Johnny Moore,PG,79.0,762.0,741.0,9.645569620253164,9.379746835443038
6611,1982.0,Magic Johnson*,SG,78.0,743.0,1447.0,9.525641025641026,18.55128205128205
6504,1982.0,Maurice Cheeks,PG,79.0,667.0,881.0,8.443037974683545,11.151898734177216
6704,1982.0,Norm Nixon,PG,82.0,652.0,1440.0,7.951219512195122,17.5609756097561
6562,1982.0,Rickey Green,PG,81.0,630.0,1202.0,7.777777777777778,14.839506172839506
6597,1982.0,Geoff Huston,PG,78.0,590.0,806.0,7.564102564102564,10.333333333333334
6729,1982.0,Micheal Ray,PG,82.0,572.0,1469.0,6.975609756097561,17.914634146341463
6768,1982.0,Isiah Thomas*,PG,72.0,565.0,1225.0,7.847222222222222,17.01388888888889
6722,1982.0,Kelvin Ransey,PG,78.0,555.0,1253.0,7.115384615384615,16.064102564102566
6666,1982.0,John Lucas,PG,79.0,551.0,666.0,6.974683544303797,8.430379746835444
6983,1983.0,Magic Johnson*,SG,79.0,829.0,1326.0,10.49367088607595,16.78481012658228
7067,1983.0,Johnny Moore,PG,77.0,753.0,941.0,9.779220779220779,12.220779220779221
6942,1983.0,Rickey Green,PG,78.0,697.0,1115.0,8.935897435897436,14.294871794871796
7198,1983.0,Gus Williams,PG,80.0,643.0,1600.0,8.0375,20.0
7157,1983.0,Isiah Thomas*,PG,81.0,634.0,1854.0,7.827160493827161,22.88888888888889
6908,1983.0,Larry Drew,PG,75.0,610.0,1510.0,8.133333333333333,20.133333333333333
7200,1983.0,Ray Williams,PG,72.0,569.0,1109.0,7.902777777777778,15.402777777777779
7079,1983.0,Norm Nixon,PG,79.0,566.0,1191.0,7.1645569620253164,15.075949367088608
6896,1983.0,Brad Davis,PG,79.0,565.0,915.0,7.151898734177215,11.582278481012658
6980,1983.0,Frank Johnson,PG,68.0,549.0,852.0,8.073529411764707,12.529411764705882
7431,1984.0,Norm Nixon,PG,82.0,914.0,1391.0,11.146341463414634,16.963414634146343
7498,1984.0,Isiah Thomas*,PG,82.0,914.0,1748.0,11.146341463414634,21.317073170731707
7348,1984.0,Magic Johnson*,PG,67.0,875.0,1178.0,13.059701492537313,17.582089552238806
7316,1984.0,Rickey Green,PG,81.0,748.0,1072.0,9.234567901234568,13.234567901234568
7542,1984.0,Gus Williams,PG,80.0,675.0,1497.0,8.4375,18.7125
7397,1984.0,John Lucas,PG,63.0,673.0,689.0,10.682539682539682,10.936507936507937
7531,1984.0,Ennis Whatley,PG,80.0,662.0,668.0,8.275,8.35
7346,1984.0,Frank Johnson,PG,82.0,567.0,982.0,6.914634146341464,11.975609756097562
7425,1984.0,Johnny Moore,PG,59.0,566.0,595.0,9.59322033898305,10.084745762711865
7275,1984.0,Brad Davis,PG,81.0,561.0,896.0,6.925925925925926,11.061728395061728
7857,1985.0,Isiah Thomas*,PG,81.0,1123.0,1720.0,13.864197530864198,21.234567901234566
7699,1985.0,Magic Johnson*,PG,77.0,968.0,1406.0,12.571428571428571,18.25974025974026
7770,1985.0,Johnny Moore,PG,82.0,816.0,1046.0,9.951219512195122,12.75609756097561
7780,1985.0,Norm Nixon,PG,81.0,711.0,1395.0,8.777777777777779,17.22222222222222
7566,1985.0,John Bagley,PG,81.0,697.0,804.0,8.604938271604938,9.925925925925926
7804,1985.0,Micheal Ray,PG,82.0,669.0,1649.0,8.158536585365853,20.109756097560975
7851,1985.0,Reggie Theus,SG,82.0,656.0,1341.0,8.0,16.353658536585368
7734,1985.0,Fat Lever,PG,82.0,613.0,1051.0,7.475609756097561,12.817073170731707
7901,1985.0,Gus Williams,PG,79.0,608.0,1578.0,7.69620253164557,19.974683544303797
7667,1985.0,Rickey Green,PG,77.0,597.0,1000.0,7.753246753246753,12.987012987012987
8082,1986.0,Magic Johnson*,PG,72.0,907.0,1354.0,12.597222222222221,18.805555555555557
8225,1986.0,Isiah Thomas*,PG,77.0,830.0,1609.0,10.779220779220779,20.896103896103895
8222,1986.0,Reggie Theus,SG,82.0,788.0,1503.0,9.609756097560975,18.329268292682926
7974,1986.0,Maurice Cheeks,PG,82.0,753.0,1266.0,9.182926829268293,15.439024390243903
8023,1986.0,Sleepy Floyd,PG,82.0,746.0,1410.0,9.097560975609756,17.195121951219512
7930,1986.0,John Bagley,PG,78.0,735.0,911.0,9.423076923076923,11.679487179487179
8181,1986.0,Paul Pressey,SF,80.0,623.0,1146.0,7.7875,14.325
8218,1986.0,John Stockton*,PG,82.0,610.0,630.0,7.439024390243903,7.682926829268292
8008,1986.0,Clyde Drexler*,SG,75.0,600.0,1389.0,8.0,18.52
8112,1986.0,Fat Lever,PG,78.0,584.0,1080.0,7.487179487179487,13.846153846153847
8459,1987.0,Magic Johnson*,PG,80.0,977.0,1909.0,12.2125,23.8625
8410,1987.0,Sleepy Floyd,PG,82.0,848.0,1541.0,10.341463414634147,18.79268292682927
8566,1987.0,Doc Rivers,PG,82.0,823.0,1053.0,10.036585365853659,12.841463414634147
8609,1987.0,Isiah Thomas*,PG,81.0,813.0,1671.0,10.037037037037036,20.62962962962963
8557,1987.0,Terry Porter,PG,80.0,715.0,1045.0,8.9375,13.0625
8607,1987.0,Reggie Theus,PG,79.0,692.0,1600.0,8.759493670886076,20.253164556962027
8602,1987.0,John Stockton*,PG,82.0,670.0,648.0,8.170731707317072,7.902439024390244
8484,1987.0,Fat Lever,PG,82.0,654.0,1552.0,7.975609756097561,18.926829268292682
8449,1987.0,Jay Humphries,PG,82.0,632.0,923.0,7.7073170731707314,11.25609756097561
8428,1987.0,Derek Harper,PG,77.0,609.0,1230.0,7.909090909090909,15.974025974025974
9018,1988.0,John Stockton*,PG,82.0,1128.0,1204.0,13.75609756097561,14.682926829268293
8852,1988.0,Mark Jackson,PG,82.0,868.0,1114.0,10.585365853658537,13.585365853658537
8863,1988.0,Magic Johnson*,PG,72.0,858.0,1408.0,11.916666666666666,19.555555555555557
8967,1988.0,Terry Porter,PG,82.0,831.0,1222.0,10.134146341463415,14.902439024390244
8976,1988.0,Doc Rivers,PG,80.0,747.0,1134.0,9.3375,14.175
8913,1988.0,Nate McMillan,PG,82.0,702.0,624.0,8.560975609756097,7.609756097560975
9024,1988.0,Isiah Thomas*,PG,81.0,678.0,1577.0,8.37037037037037,19.469135802469136
8883,1988.0,Fat Lever,SG,82.0,639.0,1546.0,7.7926829268292686,18.853658536585368
8731,1988.0,Maurice Cheeks,PG,79.0,635.0,1086.0,8.037974683544304,13.746835443037975
8816,1988.0,Derek Harper,PG,82.0,634.0,1393.0,7.7317073170731705,16.98780487804878
9461,1989.0,John Stockton*,PG,82.0,1118.0,1400.0,13.634146341463415,17.073170731707318
9282,1989.0,Kevin Johnson,PG,81.0,991.0,1650.0,12.234567901234568,20.37037037037037
9283,1989.0,Magic Johnson*,PG,77.0,988.0,1730.0,12.831168831168831,22.467532467532468
9401,1989.0,Terry Porter,PG,81.0,770.0,1431.0,9.506172839506172,17.666666666666668
9222,1989.0,Sleepy Floyd,PG,82.0,709.0,1162.0,8.646341463414634,14.170731707317072
9353,1989.0,Nate McMillan,PG,75.0,696.0,532.0,9.28,7.093333333333334
9472,1989.0,Isiah Thomas*,PG,80.0,663.0,1458.0,8.2875,18.225
9297,1989.0,Michael Jordan*,SG,81.0,650.0,2633.0,8.024691358024691,32.50617283950617
9407,1989.0,Mark Price,PG,75.0,631.0,1414.0,8.413333333333334,18.85333333333333
9452,1989.0,Kenny Smith,PG,81.0,621.0,1403.0,7.666666666666667,17.320987654320987
9923,1990.0,John Stockton*,PG,78.0,1134.0,1345.0,14.538461538461538,17.243589743589745
9735,1990.0,Magic Johnson*,PG,79.0,907.0,1765.0,11.481012658227849,22.341772151898734
9577,1990.0,Muggsy Bogues,PG,81.0,867.0,763.0,10.703703703703704,9.419753086419753
9734,1990.0,Kevin Johnson,PG,74.0,846.0,1665.0,11.432432432432432,22.5
9934,1990.0,Isiah Thomas*,PG,81.0,765.0,1492.0,9.444444444444445,18.419753086419753
9860,1990.0,Terry Porter,PG,80.0,726.0,1406.0,9.075,17.575
9700,1990.0,Tim Hardaway,PG,79.0,689.0,1162.0,8.721518987341772,14.708860759493671
9863,1990.0,Mark Price,PG,73.0,666.0,1430.0,9.123287671232877,19.589041095890412
9966,1990.0,Darrell Walker,PG,81.0,652.0,772.0,8.049382716049383,9.530864197530864
9639,1990.0,Sherman Douglas,PG,81.0,619.0,1155.0,7.6419753086419755,14.25925925925926
10377,1991.0,John Stockton*,PG,82.0,1164.0,1413.0,14.195121951219512,17.23170731707317
10208,1991.0,Magic Johnson*,PG,79.0,989.0,1531.0,12.518987341772151,19.379746835443036
10175,1991.0,Tim Hardaway,PG,82.0,793.0,1881.0,9.670731707317072,22.9390243902439
10207,1991.0,Kevin Johnson,PG,77.0,781.0,1710.0,10.142857142857142,22.207792207792206
10330,1991.0,Pooh Richardson,PG,82.0,734.0,1401.0,8.951219512195122,17.085365853658537
10010,1991.0,Michael Adams,PG,66.0,693.0,1752.0,10.5,26.545454545454547
10045,1991.0,Muggsy Bogues,PG,81.0,669.0,568.0,8.25925925925926,7.012345679012346
10359,1991.0,Scott Skiles,PG,79.0,660.0,1357.0,8.354430379746836,17.17721518987342
10319,1991.0,Terry Porter,PG,81.0,649.0,1381.0,8.012345679012345,17.049382716049383
10108,1991.0,Sherman Douglas,PG,73.0,624.0,1352.0,8.547945205479452,18.52054794520548
10844,1992.0,John Stockton*,PG,82.0,1126.0,1297.0,13.731707317073171,15.817073170731707
10662,1992.0,Kevin Johnson,PG,78.0,836.0,1536.0,10.717948717948717,19.692307692307693
10626,1992.0,Tim Hardaway,PG,81.0,807.0,1893.0,9.962962962962964,23.37037037037037
10493,1992.0,Muggsy Bogues,PG,82.0,743.0,730.0,9.060975609756097,8.902439024390244
10653,1992.0,Mark Jackson,PG,81.0,694.0,916.0,8.567901234567902,11.308641975308642
10789,1992.0,Pooh Richardson,PG,82.0,685.0,1350.0,8.353658536585366,16.463414634146343
10892,1992.0,Micheal Williams,PG,79.0,647.0,1188.0,8.189873417721518,15.037974683544304
10452,1992.0,Michael Adams,PG,78.0,594.0,1408.0,7.615384615384615,18.05128205128205
10861,1992.0,Sedale Threatt,PG,82.0,593.0,1240.0,7.2317073170731705,15.121951219512194
10771,1992.0,Scottie Pippen*,SF,82.0,572.0,1720.0,6.975609756097561,20.975609756097562
11295,1993.0,John Stockton*,PG,82.0,987.0,1239.0,12.036585365853659,15.109756097560975
11269,1993.0,Scott Skiles,PG,78.0,735.0,1201.0,9.423076923076923,15.397435897435898
11093,1993.0,Mark Jackson,PG,82.0,724.0,1181.0,8.829268292682928,14.402439024390244
10953,1993.0,Muggsy Bogues,PG,81.0,711.0,808.0,8.777777777777779,9.975308641975309
11071,1993.0,Tim Hardaway,PG,66.0,699.0,1419.0,10.590909090909092,21.5
10952,1993.0,Mookie Blaylock,PG,80.0,671.0,1069.0,8.3875,13.3625
11300,1993.0,Isiah Thomas*,PG,79.0,671.0,1391.0,8.49367088607595,17.60759493670886
11339,1993.0,Micheal Williams,PG,76.0,661.0,1151.0,8.697368421052632,15.144736842105264
11176,1993.0,Eric Murdock,PG,79.0,603.0,1138.0,7.632911392405063,14.405063291139241
11223,1993.0,Mark Price,PG,75.0,602.0,1365.0,8.026666666666667,18.2
11777,1994.0,John Stockton*,PG,82.0,1031.0,1236.0,12.573170731707316,15.073170731707316
11395,1994.0,Mookie Blaylock,PG,81.0,789.0,1118.0,9.74074074074074,13.802469135802468
11369,1994.0,Kenny Anderson,PG,82.0,784.0,1538.0,9.560975609756097,18.75609756097561
11397,1994.0,Muggsy Bogues,PG,77.0,780.0,835.0,10.12987012987013,10.844155844155845
11778,1994.0,Rod Strickland,PG,82.0,740.0,1411.0,9.024390243902438,17.20731707317073
11478,1994.0,Sherman Douglas,PG,78.0,683.0,1040.0,8.756410256410257,13.333333333333334
11569,1994.0,Mark Jackson,PG,79.0,678.0,865.0,8.582278481012658,10.949367088607595
11582,1994.0,Kevin Johnson,PG,67.0,637.0,1340.0,9.507462686567164,20.0
11718,1994.0,Mark Price,PG,76.0,589.0,1316.0,7.75,17.31578947368421
11670,1994.0,Eric Murdock,PG,82.0,546.0,1257.0,6.658536585365853,15.329268292682928
12227,1995.0,John Stockton*,PG,82.0,1011.0,1206.0,12.329268292682928,14.707317073170731
11850,1995.0,Kenny Anderson,PG,72.0,680.0,1267.0,9.444444444444445,17.59722222222222
11875,1995.0,Muggsy Bogues,PG,78.0,675.0,862.0,8.653846153846153,11.051282051282051
12040,1995.0,Avery Johnson,PG,82.0,670.0,1101.0,8.170731707317072,13.426829268292684
12248,1995.0,Nick Van,PG,80.0,660.0,1348.0,8.25,16.85
12173,1995.0,Pooh Richardson,PG,80.0,632.0,874.0,7.9,10.925
11862,1995.0,Dana Barros,PG,82.0,619.0,1686.0,7.548780487804878,20.5609756097561
11873,1995.0,Mookie Blaylock,PG,80.0,616.0,1373.0,7.7,17.1625
12038,1995.0,Mark Jackson,PG,82.0,616.0,624.0,7.512195121951219,7.609756097560975
12054,1995.0,Jason Kidd,PG,79.0,607.0,922.0,7.6835443037974684,11.670886075949367
12756,1996.0,John Stockton*,PG,82.0,916.0,1209.0,11.170731707317072,14.74390243902439
12518,1996.0,Avery Johnson,PG,82.0,789.0,1071.0,9.621951219512194,13.060975609756097
12536,1996.0,Jason Kidd,PG,81.0,783.0,1348.0,9.666666666666666,16.641975308641975
12757,1996.0,Damon Stoudamire,PG,70.0,653.0,1331.0,9.32857142857143,19.014285714285716
12487,1996.0,Tim Hardaway,PG,80.0,640.0,1217.0,8.0,15.2125
12758,1996.0,Rod Strickland,PG,67.0,640.0,1256.0,9.552238805970148,18.746268656716417
12516,1996.0,Mark Jackson,PG,81.0,635.0,806.0,7.839506172839506,9.950617283950617
12646,1996.0,Gary Payton*,PG,81.0,608.0,1563.0,7.506172839506172,19.296296296296298
12486,1996.0,Anfernee Hardaway,PG,82.0,582.0,1780.0,7.097560975609756,21.70731707317073
12302,1996.0,Kenny Anderson,PG,69.0,575.0,1050.0,8.333333333333334,15.217391304347826
13081,1997.0,Mark Jackson,PG,82.0,935.0,812.0,11.402439024390244,9.902439024390244
13337,1997.0,John Stockton*,PG,82.0,860.0,1183.0,10.487804878048781,14.426829268292684
13341,1997.0,Rod Strickland,PG,82.0,727.0,1410.0,8.865853658536585,17.195121951219512
13338,1997.0,Damon Stoudamire,PG,81.0,709.0,1634.0,8.753086419753087,20.17283950617284
13050,1997.0,Tim Hardaway,PG,81.0,695.0,1644.0,8.580246913580247,20.296296296296298
13359,1997.0,Nick Van,PG,79.0,672.0,1206.0,8.50632911392405,15.265822784810126
13091,1997.0,Kevin Johnson,PG,70.0,653.0,1410.0,9.32857142857143,20.142857142857142
13082,1997.0,Mark Jackson,PG,52.0,641.0,541.0,12.326923076923077,10.403846153846153
12850,1997.0,Kenny Anderson,PG,82.0,584.0,1436.0,7.121951219512195,17.51219512195122
13062,1997.0,Grant Hill,SF,80.0,583.0,1710.0,7.2875,21.375
13873,1998.0,Rod Strickland,PG,76.0,801.0,1349.0,10.539473684210526,17.75
13663,1998.0,Jason Kidd,PG,82.0,745.0,954.0,9.085365853658537,11.634146341463415
13642,1998.0,Mark Jackson,PG,82.0,713.0,678.0,8.695121951219512,8.268292682926829
13692,1998.0,Stephon Marbury,PG,82.0,704.0,1450.0,8.585365853658537,17.682926829268293
13758,1998.0,Gary Payton*,PG,82.0,679.0,1571.0,8.28048780487805,19.158536585365855
13609,1998.0,Tim Hardaway,PG,81.0,672.0,1528.0,8.296296296296296,18.864197530864196
13666,1998.0,Brevin Knight,PG,80.0,656.0,723.0,8.2,9.0375
13495,1998.0,Sam Cassell,PG,75.0,603.0,1471.0,8.04,19.613333333333333
13645,1998.0,Avery Johnson,PG,75.0,591.0,766.0,7.88,10.213333333333333
13868,1998.0,Damon Stoudamire,PG,71.0,580.0,1225.0,8.169014084507042,17.253521126760564
14206,1999.0,Jason Kidd,PG,50.0,539.0,846.0,10.78,16.92
14239,1999.0,Stephon Marbury,PG,49.0,437.0,1044.0,8.918367346938776,21.306122448979593
14312,1999.0,Gary Payton*,PG,50.0,436.0,1084.0,8.72,21.68
14402,1999.0,Rod Strickland,PG,44.0,434.0,690.0,9.863636363636363,15.681818181818182
14181,1999.0,Mark Jackson,PG,49.0,386.0,373.0,7.877551020408164,7.612244897959184
14397,1999.0,John Stockton*,PG,50.0,374.0,553.0,7.48,11.06
14187,1999.0,Avery Johnson,PG,50.0,369.0,487.0,7.38,9.74
14416,1999.0,Nick Van,PG,50.0,368.0,826.0,7.36,16.52
14144,1999.0,Tim Hardaway,PG,48.0,352.0,835.0,7.333333333333333,17.395833333333332
13976,1999.0,Darrell Armstrong,PG,50.0,335.0,690.0,6.7,13.8
14825,2000.0,Gary Payton*,PG,82.0,732.0,1982.0,8.926829268292684,24.170731707317074
14554,2000.0,Sam Cassell,PG,81.0,729.0,1506.0,9.0,18.59259259259259
14925,2000.0,Nick Van,PG,79.0,714.0,1275.0,9.037974683544304,16.139240506329113
14895,2000.0,John Stockton*,PG,82.0,703.0,990.0,8.573170731707316,12.073170731707316
14721,2000.0,Jason Kidd,PG,67.0,678.0,959.0,10.119402985074627,14.313432835820896
14506,2000.0,Mike Bibby,PG,82.0,665.0,1190.0,8.109756097560975,14.512195121951219
14690,2000.0,Mark Jackson,PG,81.0,650.0,660.0,8.024691358024691,8.148148148148149
14528,2000.0,Terrell Brandon,PG,71.0,629.0,1212.0,8.859154929577464,17.070422535211268
14883,2000.0,Eric Snow,PG,82.0,624.0,651.0,7.609756097560975,7.939024390243903
14756,2000.0,Stephon Marbury,PG,74.0,622.0,1640.0,8.405405405405405,22.16216216216216
15219,2001.0,Jason Kidd,PG,77.0,753.0,1299.0,9.779220779220779,16.87012987012987
15431,2001.0,John Stockton*,PG,82.0,713.0,944.0,8.695121951219512,11.512195121951219
14999,2001.0,Mike Bibby,PG,82.0,685.0,1301.0,8.353658536585366,15.865853658536585
15193,2001.0,Mark Jackson,PG,83.0,661.0,631.0,7.963855421686747,7.602409638554217
15287,2001.0,Andre Miller,PG,82.0,657.0,1296.0,8.012195121951219,15.804878048780488
15354,2001.0,Gary Payton*,PG,79.0,642.0,1823.0,8.126582278481013,23.075949367088608
15461,2001.0,Nick Van,PG,71.0,600.0,1259.0,8.450704225352112,17.732394366197184
15081,2001.0,Baron Davis,PG,82.0,598.0,1131.0,7.2926829268292686,13.792682926829269
15018,2001.0,Terrell Brandon,PG,78.0,583.0,1250.0,7.4743589743589745,16.025641025641026
15042,2001.0,Sam Cassell,PG,76.0,580.0,1381.0,7.631578947368421,18.17105263157895
15810,2002.0,Andre Miller,PG,81.0,882.0,1335.0,10.88888888888889,16.48148148148148
15754,2002.0,Jason Kidd,PG,82.0,808.0,1208.0,9.853658536585366,14.731707317073171
15864,2002.0,Gary Payton*,PG,82.0,737.0,1815.0,8.987804878048781,22.134146341463413
15622,2002.0,Baron Davis,PG,82.0,698.0,1484.0,8.512195121951219,18.097560975609756
15944,2002.0,John Stockton*,PG,82.0,674.0,1102.0,8.21951219512195,13.439024390243903
15784,2002.0,Stephon Marbury,PG,82.0,666.0,1674.0,8.121951219512194,20.414634146341463
15959,2002.0,Jamaal Tinsley,PG,80.0,647.0,751.0,8.0875,9.3875
15833,2002.0,Steve Nash,PG,82.0,634.0,1466.0,7.7317073170731705,17.878048780487806
15729,2002.0,Mark Jackson,PG,82.0,605.0,686.0,7.378048780487805,8.365853658536585
15991,2002.0,Jason Williams,PG,65.0,519.0,959.0,7.984615384615385,14.753846153846155
16243,2003.0,Jason Kidd,PG,80.0,711.0,1495.0,8.8875,18.6875
16345,2003.0,Gary Payton*,PG,80.0,663.0,1634.0,8.2875,20.425
16270,2003.0,Stephon Marbury,PG,81.0,654.0,1806.0,8.074074074074074,22.296296296296298
16471,2003.0,Jason Williams,PG,76.0,631.0,919.0,8.302631578947368,12.092105263157896
16412,2003.0,John Stockton*,PG,82.0,629.0,884.0,7.670731707317073,10.78048780487805
16424,2003.0,Jason Terry,PG,81.0,600.0,1395.0,7.407407407407407,17.22222222222222
16318,2003.0,Steve Nash,PG,82.0,598.0,1455.0,7.2926829268292686,17.74390243902439
16431,2003.0,Jamaal Tinsley,PG,73.0,548.0,566.0,7.506849315068493,7.7534246575342465
16406,2003.0,Eric Snow,PG,82.0,544.0,1054.0,6.634146341463414,12.853658536585366
16293,2003.0,Andre Miller,PG,80.0,537.0,1088.0,6.7125,13.6
16801,2004.0,Stephon Marbury,PG,81.0,719.0,1639.0,8.876543209876543,20.234567901234566
16866,2004.0,Steve Nash,PG,78.0,687.0,1128.0,8.807692307692308,14.461538461538462
16773,2004.0,Jason Kidd,PG,67.0,618.0,1036.0,9.223880597014926,15.462686567164178
16594,2004.0,Sam Cassell,PG,81.0,592.0,1603.0,7.308641975308642,19.790123456790123
16963,2004.0,Eric Snow,PG,82.0,563.0,844.0,6.865853658536586,10.292682926829269
16724,2004.0,Kirk Hinrich,PG,76.0,517.0,915.0,6.802631578947368,12.039473684210526
16621,2004.0,Baron Davis,PG,67.0,501.0,1532.0,7.477611940298507,22.865671641791046
16837,2004.0,Andre Miller,PG,82.0,501.0,1214.0,6.109756097560975,14.804878048780488
16975,2004.0,Damon Stoudamire,PG,82.0,500.0,1099.0,6.097560975609756,13.402439024390244
16669,2004.0,Steve Francis,PG,79.0,493.0,1310.0,6.2405063291139244,16.582278481012658
17452,2005.0,Steve Nash,PG,75.0,861.0,1165.0,11.48,15.533333333333333
17397,2005.0,Stephon Marbury,PG,82.0,668.0,1781.0,8.146341463414634,21.71951219512195
17330,2005.0,Allen Iverson*,PG,75.0,596.0,2302.0,7.946666666666666,30.69333333333333
17375,2005.0,Brevin Knight,PG,66.0,591.0,666.0,8.954545454545455,10.090909090909092
17344,2005.0,LeBron James,SF,80.0,577.0,2175.0,7.2125,27.1875
