,name,year_start,year_end,position,height,weight,height_in_meters
0,Alaa Abdelnaby,1991,1995,F,6-10,240.0,2.0828
1,Zaid Abdul-Aziz,1969,1978,C,6-9,235.0,2.0574000000000003
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,2.1844
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,1.8542000000000003
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,1.9812000000000003
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,2.0574000000000003
6,Tom Abernethy,1977,1981,F,6-7,220.0,2.0066
7,Forest Able,1957,1957,G,6-3,180.0,1.9050000000000002
8,John Abramovic,1947,1948,F,6-3,195.0,1.9050000000000002
9,Alex Abrines,2017,2018,G,6-6,190.0,1.9812000000000003
10,Alex Acker,2006,2009,G,6-5,185.0,1.9558000000000002
11,Don Ackerman,1954,1954,G,6-0,183.0,1.8288000000000002
12,Mark Acres,1988,1993,F,6-11,220.0,2.1082
13,Bud Acton,1968,1968,F,6-6,210.0,1.9812000000000003
14,Quincy Acy,2013,2018,F,6-7,240.0,2.0066
15,Alvan Adams,1976,1988,C,6-9,210.0,2.0574000000000003
16,Don Adams,1971,1977,F,6-6,210.0,1.9812000000000003
17,George Adams,1973,1975,F,6-5,210.0,1.9558000000000002
18,Hassan Adams,2007,2009,G,6-4,220.0,1.9304000000000001
19,Jordan Adams,2015,2016,G,6-5,209.0,1.9558000000000002
20,Michael Adams,1986,1996,G,5-10,162.0,1.778
21,Steven Adams,2014,2018,C,7-0,255.0,2.1336
22,Rafael Addison,1987,1997,F,6-7,215.0,2.0066
23,Bam Adebayo,2018,2018,C,6-10,243.0,2.0828
24,Rick Adelman,1969,1975,G,6-1,175.0,1.8542000000000003
25,Jeff Adrien,2011,2015,F,6-7,245.0,2.0066
26,Arron Afflalo,2008,2018,G,6-5,210.0,1.9558000000000002
27,Maurice Ager,2007,2011,G,6-5,202.0,1.9558000000000002
28,Mark Aguirre,1982,1994,F,6-6,232.0,1.9812000000000003
29,Blake Ahearn,2008,2012,G,6-2,190.0,1.8796000000000002
30,Danny Ainge,1982,1995,G,6-4,175.0,1.9304000000000001
31,Matthew Aitch,1968,1968,F,6-7,230.0,2.0066
32,Alexis Ajinca,2009,2017,C,7-2,248.0,2.1844
33,Henry Akin,1967,1969,C,6-10,225.0,2.0828
34,Josh Akognon,2013,2013,G,5-11,185.0,1.8034
35,Solomon Alabi,2011,2012,C,7-1,251.0,2.159
36,Mark Alarie,1987,1991,F,6-8,217.0,2.032
37,Gary Alcorn,1960,1961,C,6-9,225.0,2.0574000000000003
38,Furkan Aldemir,2015,2015,F,6-10,240.0,2.0828
39,Cole Aldrich,2011,2018,C,6-11,250.0,2.1082
40,LaMarcus Aldridge,2007,2018,F,6-11,260.0,2.1082
41,Chuck Aleksinas,1985,1985,C,6-11,260.0,2.1082
42,Cliff Alexander,2016,2016,F,6-8,245.0,2.032
43,Cory Alexander,1996,2005,G,6-1,185.0,1.8542000000000003
44,Courtney Alexander,2001,2003,G,6-5,205.0,1.9558000000000002
45,Gary Alexander,1994,1994,F,6-7,240.0,2.0066
46,Joe Alexander,2009,2010,F,6-8,230.0,2.032
47,Victor Alexander,1992,2002,C,6-9,265.0,2.0574000000000003
48,Steve Alford,1988,1991,G,6-2,183.0,1.8796000000000002
49,Bill Allen,1968,1968,C,6-8,205.0,2.032
50,Bob Allen,1969,1969,F,6-9,205.0,2.0574000000000003
51,Jarrett Allen,2018,2018,F,6-10,234.0,2.0828
52,Jerome Allen,1996,1997,G,6-4,184.0,1.9304000000000001
53,Kadeem Allen,2018,2018,G,6-3,192.0,1.9050000000000002
54,Lavoy Allen,2012,2017,F,6-9,260.0,2.0574000000000003
55,Lucius Allen,1970,1979,G,6-2,175.0,1.8796000000000002
56,Malik Allen,2002,2011,F,6-10,255.0,2.0828
57,Randy Allen,1989,1990,F,6-8,220.0,2.032
58,Ray Allen,1997,2014,G,6-5,205.0,1.9558000000000002
59,Tony Allen,2005,2018,G,6-4,213.0,1.9304000000000001
60,Willie Allen,1972,1972,F,6-6,230.0,1.9812000000000003
61,Odis Allison,1972,1972,F,6-6,195.0,1.9812000000000003
62,Lance Allred,2008,2008,C,6-11,250.0,2.1082
63,Darrell Allums,1981,1981,F,6-9,220.0,2.0574000000000003
64,Morris Almond,2008,2012,G,6-6,225.0,1.9812000000000003
65,Derrick Alston,1995,1997,F,6-11,225.0,2.1082
66,Rafer Alston,2000,2010,G,6-2,171.0,1.8796000000000002
67,Peter Aluma,1999,1999,C,6-10,260.0,2.0828
68,John Amaechi,1996,2003,C,6-10,270.0,2.0828
69,Ashraf Amaya,1996,1997,F,6-8,230.0,2.032
70,Al-Farouq Aminu,2011,2018,F,6-9,220.0,2.0574000000000003
71,Lou Amundson,2007,2016,F,6-9,220.0,2.0574000000000003
72,Bob Anderegg,1960,1960,F,6-3,200.0,1.9050000000000002
73,Chris Andersen,2002,2017,F,6-10,245.0,2.0828
74,David Andersen,2010,2011,C,6-11,245.0,2.1082
75,Alan Anderson,2006,2017,G,6-6,220.0,1.9812000000000003
76,Andrew Anderson,1968,1970,G,6-2,184.0,1.8796000000000002
77,Antonio Anderson,2010,2010,G,6-6,215.0,1.9812000000000003
78,Cliff Anderson,1968,1971,G,6-2,200.0,1.8796000000000002
79,Dan Anderson,1968,1969,C,6-10,230.0,2.0828
80,Dan Anderson,1975,1976,G,6-2,185.0,1.8796000000000002
81,Derek Anderson,1998,2008,G,6-5,194.0,1.9558000000000002
82,Dwight Anderson,1983,1983,G,6-3,185.0,1.9050000000000002
83,Eric Anderson,1993,1994,F,6-9,220.0,2.0574000000000003
84,Greg Anderson,1988,1998,F,6-10,230.0,2.0828
85,J.J. Anderson,1983,1985,F,6-8,195.0,2.032
86,James Anderson,2011,2016,G,6-6,213.0,1.9812000000000003
87,Jerome Anderson,1976,1977,G,6-5,195.0,1.9558000000000002
88,Justin Anderson,2016,2018,G,6-6,228.0,1.9812000000000003
89,Kenny Anderson,1992,2005,G,6-0,168.0,1.8288000000000002
90,Kim Anderson,1979,1979,F,6-7,200.0,2.0066
91,Kyle Anderson,2015,2018,F,6-9,230.0,2.0574000000000003
92,Michael Anderson,1989,1989,G,5-11,184.0,1.8034
93,Nick Anderson,1990,2002,F,6-6,205.0,1.9812000000000003
94,Richard Anderson,1983,1990,F,6-10,240.0,2.0828
95,Ron Anderson,1985,1994,F,6-7,215.0,2.0066
96,Ryan Anderson,2009,2018,F,6-10,240.0,2.0828
97,Shandon Anderson,1997,2006,F,6-6,208.0,1.9812000000000003
98,Willie Anderson,1989,1997,G,6-7,190.0,2.0066
99,Wally Anderzunas,1970,1970,C,6-7,220.0,2.0066
100,Martynas Andriuskevicius,2006,2006,C,7-2,240.0,2.1844
101,Don Anielak,1955,1955,F,6-7,190.0,2.0066
102,Ike Anigbogu,2018,2018,F,6-10,252.0,2.0828
103,Michael Ansley,1990,1992,F,6-7,225.0,2.0066
104,Chris Anstey,1998,2000,C,7-0,249.0,2.1336
105,Giannis Antetokounmpo,2014,2018,F,6-11,222.0,2.1082
106,Thanasis Antetokounmpo,2016,2016,F,6-7,205.0,2.0066
107,Carmelo Anthony,2004,2018,F,6-8,240.0,2.032
108,Greg Anthony,1992,2002,G,6-0,176.0,1.8288000000000002
109,Joel Anthony,2008,2017,C,6-9,245.0,2.0574000000000003
110,Pero Antic,2014,2015,C,6-11,260.0,2.1082
111,OG Anunoby,2018,2018,F,6-8,232.0,2.032
112,Keith Appling,2016,2016,G,6-1,185.0,1.8542000000000003
113,Rafael Araujo,2005,2007,C,6-11,280.0,2.1082
114,Stacey Arceneaux,1962,1962,F,6-4,210.0,1.9304000000000001
115,Robert Archibald,2003,2004,F,6-11,250.0,2.1082
116,Tiny Archibald,1971,1984,G,6-1,150.0,1.8542000000000003
117,Ryan Arcidiacono,2018,2018,G,6-3,188.0,1.9050000000000002
118,Jim Ard,1971,1978,F,6-8,215.0,2.032
119,Gilbert Arenas,2002,2012,G,6-3,191.0,1.9050000000000002
120,Trevor Ariza,2005,2018,F,6-8,215.0,2.032
121,Paul Arizin,1951,1962,F,6-4,190.0,1.9304000000000001
122,Joe Arlauckas,1988,1988,F,6-9,230.0,2.0574000000000003
123,B.J. Armstrong,1990,2000,G,6-2,175.0,1.8796000000000002
124,Bob Armstrong,1957,1957,C,6-8,220.0,2.032
125,Brandon Armstrong,2002,2004,G,6-5,188.0,1.9558000000000002
126,Curly Armstrong,1949,1951,G,5-11,170.0,1.8034
127,Darrell Armstrong,1995,2008,G,6-0,170.0,1.8288000000000002
128,Hilton Armstrong,2007,2014,F,6-11,235.0,2.1082
129,Tate Armstrong,1978,1979,G,6-3,175.0,1.9050000000000002
130,Jesse Arnelle,1956,1956,F,6-5,220.0,1.9558000000000002
131,Jay Arnette,1964,1966,G,6-2,175.0,1.8796000000000002
132,Bob Arnzen,1970,1974,F,6-5,205.0,1.9558000000000002
133,Carlos Arroyo,2002,2011,G,6-2,202.0,1.8796000000000002
134,Darrell Arthur,2009,2018,F,6-9,235.0,2.0574000000000003
135,John Arthurs,1970,1970,G,6-4,185.0,1.9304000000000001
136,Jamel Artis,2018,2018,G,6-7,213.0,2.0066
137,Omer Asik,2011,2018,C,7-0,255.0,2.1336
138,Vincent Askew,1988,1998,G,6-6,210.0,1.9812000000000003
139,Keith Askins,1991,1999,G,6-7,197.0,2.0066
140,Don Asmonga,1954,1954,G,6-2,185.0,1.8796000000000002
141,Dick Atha,1956,1958,G,6-2,190.0,1.8796000000000002
142,Chucky Atkins,2000,2010,G,5-11,160.0,1.8034
143,Al Attles,1961,1971,G,6-0,175.0,1.8288000000000002
144,Chet Aubuchon,1947,1947,G,5-10,137.0,1.778
145,Stacey Augmon,1992,2006,F,6-8,205.0,2.032
146,D.J. Augustin,2009,2018,G,6-0,183.0,1.8288000000000002
147,James Augustine,2007,2008,F,6-10,235.0,2.0828
148,Isaac Austin,1992,2002,C,6-10,255.0,2.0828
149,Johnny Austin,1967,1968,G,6-0,170.0,1.8288000000000002
150,Ken Austin,1984,1984,F,6-9,205.0,2.0574000000000003
151,Anthony Avent,1993,2000,F,6-9,235.0,2.0574000000000003
152,Bird Averitt,1974,1978,G,6-1,170.0,1.8542000000000003
153,William Avery,2000,2002,G,6-2,197.0,1.8796000000000002
154,Dennis Awtrey,1971,1982,C,6-10,235.0,2.0828
155,Gustavo Ayon,2012,2014,C,6-10,250.0,2.0828
156,Jeff Ayres,2010,2016,F,6-9,240.0,2.0574000000000003
